"Gene_ID"	"A._thaliana_best_hit"	"Symbol"	"Description"	"TF"	"Leaf_development"	"logFC.phyB.vs.wt.sen"	"logFC.phyB.vs.wt.rec"	"F"	"PValue"	"fdr.gen"
"BraA06002115"	"AT1G19450"	"AT1G19450"	"Major facilitator superfamily protein"	"-"	"-"	-1.77117807940247	0.889663056215777	10.5544955871704	0.000402844893707921	0.252307511856324
"BraA06003694"	"AT5G25190"	"ESE3"	"Integrase-type DNA-binding superfamily protein"	"YES"	"-"	-4.89790391870772	4.36803122118149	10.4516942485632	0.000431609278569993	0.254294911243554
"BraA01002149"	"AT4G16780"	"HB-2"	"homeobox protein 2"	"YES"	"YES"	-1.93763507165191	0.590821036500887	10.4011718469963	0.000444113080752332	0.254294911243554
"BraA09001657"	"AT1G62740"	"Hop2"	"stress-inducible protein"	"-"	"-"	-0.831515562211532	1.08695283084383	10.3687707579055	0.000445004268734186	0.254294911243554
"BraA03000085"	"AT5G02540"	"AT5G02540"	"NAD(P)-binding Rossmann-fold superfamily protein"	"-"	"-"	-6.74429876982599	2.92427619801972	10.3650576030179	0.000453289151822486	0.254294911243554
"BraA10003095"	"AT5G02810"	"PRR7"	"pseudo-response regulator 7"	"-"	"YES"	0.801215723364753	-0.901410225456783	10.2695692591921	0.000470892114353607	0.254294911243554
"BraA03002076"	"AT2G37770"	"ChlAKR"	"NAD(P)-linked oxidoreductase superfamily protein"	"-"	"-"	-2.96877844926228	2.30414992968302	10.2520810045959	0.000475621156014129	0.254294911243554
"BraA03005695"	"AT4G26940"	"AT4G26940"	"Galactosyltransferase family protein"	"-"	"-"	-1.48199901536433	1.24504688168884	10.164732848548	0.000501510710543505	0.261752768710099
"BraA10000869"	"AT5G52890"	"AT5G52890"	"AT hook motif-containing protein"	"-"	"-"	1.65213619479664	-2.11814285431612	10.0517398523617	0.000533585155817086	0.266100283533599
"BraA09001262"	"AT4G29840"	"MTO2"	"Pyridoxal-5'-phosphate-dependent enzyme family protein"	"-"	"-"	1.69883316932524	-0.916583631716081	10.0112668394242	0.000549017152970417	0.266100283533599
"BraA04002017"	"AT2G27920"	"SCPL51"	"serine carboxypeptidase-like 51"	"-"	"-"	1.48083734455867	-1.25736821672692	9.99106403107925	0.000552695745604808	0.266100283533599
"BraA09003244"	"AT1G34370"	"STOP1"	"C2H2 and C2HC zinc fingers superfamily protein"	"YES"	"-"	1.07871031087641	-0.0496028891702315	9.94461984739356	0.000567650078064944	0.266100283533599
"BraA10001035"	"AT5G54770"	"THI1"	"thiazole biosynthetic enzyme, chloroplast (ARA6) (THI1) (THI4)"	"-"	"-"	1.10745947038081	-1.8887859460215	9.93263542166267	0.000571603965784041	0.266100283533599
"BraA08003709"	"AT1G09270"	"IMPA-4"	"importin alpha isoform 4"	"-"	"-"	-2.81790193392871	2.09451763644498	9.89072269194667	0.000594691760268389	0.266100283533599
"BraA01001556"	"AT4G24000"	"CSLG2"	"cellulose synthase like G2"	"-"	"-"	-6.33441022747352	9.15214130552403	10.7775939645047	0.000594813826611301	0.266100283533599
"BraA01000225"	"AT4G36710"	"HAM4"	"GRAS family transcription factor"	"YES"	"YES"	-0.41609402344157	-1.30074530319702	9.79072635265325	0.000620736747731693	0.272143404940529
"BraA09004465"	"AT3G50700"	"IDD2"	"indeterminate(ID)-domain 2"	"YES"	"YES"	1.18318438117654	-1.06781244866976	9.69000934859901	0.000658348814914664	0.277675384926497
"BraA07003299"	"AT1G69580"	"AT1G69580"	"Homeodomain-like superfamily protein"	"YES"	"-"	-0.886317250937642	-0.0636283161691813	9.68182321467094	0.000661511575464409	0.277675384926497
"BraA10002904"	"AT5G09570"	"AT5G09570"	"Cox19-like CHCH family protein"	"-"	"-"	-4.99604317450026	1.7088939203022	9.6450774262862	0.000685959894836671	0.277675384926497
"BraA07002785"	"AT1G71710"	"AT1G71710"	"DNAse I-like superfamily protein"	"-"	"-"	1.23843323181395	-0.387867138704358	9.60061340845005	0.00069378560951765	0.277675384926497
"BraA09000632"	"AT5G25190"	"ESE3"	"Integrase-type DNA-binding superfamily protein"	"YES"	"-"	-5.05794867844306	5.01834894513583	9.59493026586999	0.000704780152279584	0.277675384926497
"BraA03003373"	"AT3G04630"	"WDL1"	"WVD2-like 1"	"-"	"-"	-3.03841344517602	3.01960323544772	9.58774597463885	0.000709357308329173	0.277675384926497
"BraA04002874"	"AT2G40080"	"ELF4"	"EARLY FLOWERING-like protein (DUF1313)"	"-"	"-"	-2.13914499745698	-3.37806283882038	9.50288922001904	0.000745574665058203	0.285135514856176
"BraA03001437"	"AT5G54770"	"THI1"	"thiazole biosynthetic enzyme, chloroplast (ARA6) (THI1) (THI4)"	"-"	"-"	1.19562010803378	-1.8840230680408	9.45843519766817	0.000754429992320524	0.285135514856176
"BraA03004343"	"AT3G23810"	"SAHH2"	"S-adenosyl-l-homocysteine (SAH) hydrolase 2"	"-"	"YES"	-2.75812791970638	2.85285390393503	9.37782985839491	0.000802617345935155	0.290329428445405
"BraA05002983"	"AT3G20470"	"GRP5"	"glycine-rich protein 5"	"-"	"-"	-6.46071821888782	4.4379958384687	9.37368484047256	0.000804586471101367	0.290329428445405
"BraA06001698"	"AT1G15110"	"PSS1"	"phosphatidyl serine synthase family protein"	"-"	"-"	-1.36316811196882	0.640551438445953	9.33077151066098	0.000813745040615928	0.290329428445405
"BraA01001308"	"AT5G62390"	"BAG7"	"BCL-2-associated athanogene 7"	"-"	"-"	-0.83169048029301	-0.00187842987367018	9.30358132969739	0.000827013369030709	0.290329428445405
"BraA08000156"	"AT1G53380"	"AT1G53380"	"hypothetical protein (DUF641)"	"-"	"-"	-3.87532459906706	2.29734369347167	9.26523437746619	0.000846122078357092	0.290329428445405
"BraA09000655"	"AT5G24470"	"PRR5"	"two-component response regulator-like protein"	"-"	"YES"	1.91513645997789	-2.12036963158788	9.26738044773177	0.000856901799118405	0.290329428445405
"BraA09001727"	"AT1G61520"	"LHCA3"	"PSI type III chlorophyll a/b-binding protein"	"-"	"-"	1.22726662791364	-1.36709272774186	9.20362690385057	0.000877820817775739	0.290329428445405
"BraA06003382"	"AT5G67560"	"ARLA1D"	"ADP-ribosylation factor-like A1D"	"-"	"-"	0.181820604598939	-0.76235597992755	9.192424758571	0.000883720346800788	0.290329428445405
"BraA05003757"	"AT3G13600"	"AT3G13600"	"calmodulin-binding family protein"	"-"	"-"	-7.75979886477033	8.79772727516576	9.20499327879773	0.000889295946253928	0.290329428445405
"BraA10000870"	"AT5G52890"	"AT5G52890"	"AT hook motif-containing protein"	"-"	"-"	1.56363230608499	-2.08225622134024	9.09998877899063	0.000934056612727733	0.290329428445405
"BraA06000993"	"AT1G50030"	"TOR"	"target of rapamycin"	"-"	"YES"	0.97846039830821	-0.495541062593144	9.08387867334224	0.000943140013245779	0.290329428445405
"BraA07002650"	"AT1G74910"	"AT1G74910"	"ADP-glucose pyrophosphorylase family protein"	"-"	"-"	1.30974250489733	-1.34926918179133	9.06555555517155	0.000957164751272294	0.290329428445405
"BraA01002002"	"AT1G58170"	"AT1G58170"	"Disease resistance-responsive (dirigent-like protein) family protein"	"-"	"-"	-3.00118997619284	3.10160801747634	9.02251902821635	0.000981316168306443	0.290329428445405
"BraA05003645"	"AT3G14770"	"SWEET2"	"Nodulin MtN3 family protein"	"-"	"-"	-4.69934578268653	3.61177018009131	9.03908246461607	0.00098201627065051	0.290329428445405
"BraSca000243"	"AT5G23960"	"TPS21"	"terpene synthase 21"	"-"	"-"	2.75863566785209	-2.17761728845365	9.03427920166286	0.00098485064050383	0.290329428445405
"BraA02001409"	"AT5G56180"	"ARP8"	"actin-related protein 8"	"-"	"-"	1.12613471281233	-0.828114791765469	8.96076554162616	0.00101576621912865	0.290329428445405
"BraA05002735"	"AT5G38660"	"APE1"	"acclimation of photosynthesis to environment"	"-"	"YES"	0.811509485477391	-0.678092575344962	8.93477005330857	0.00103185565621097	0.290329428445405
"BraA05004289"	"AT5G67290"	"AT5G67290"	"FAD-dependent oxidoreductase family protein"	"-"	"-"	0.434215331573439	-1.00462391229068	8.93383696604933	0.00103243823448316	0.290329428445405
"BraA07002443"	"AT1G80940"	"AT1G80940"	"Snf1 kinase interactor-like protein"	"-"	"-"	-0.788195303935879	0.559695454383604	8.91668011415239	0.00104321336237198	0.290329428445405
"BraA02001088"	"AT5G22860"	"AT5G22860"	"Serine carboxypeptidase S28 family protein"	"-"	"-"	-2.91051865092781	2.59225550055793	8.91893903079724	0.00105561900740245	0.290329428445405
"BraA04002549"	"AT2G35190"	"NPSN11"	"Putative plant snare 11"	"-"	"-"	-4.42945441571377	4.11009472268248	8.89080800543545	0.00106072381755745	0.290329428445405
"BraA01001133"	"AT4G19140"	"AT4G19140"	"exopolysaccharide production negative regulator"	"-"	"-"	0.606630951595973	-1.16204634014062	8.87246697664312	0.0010715409517848	0.290329428445405
"BraA01004793"	"AT3G01310"	"AT3G01310"	"Phosphoglycerate mutase-like family protein"	"-"	"-"	0.93673074915775	-1.53471683018089	8.87176280834494	0.00107279246859531	0.290329428445405
"BraA03003975"	"AT3G15840"	"PIFI"	"post-illumination chlorophyll fluorescence increase"	"-"	"-"	1.16383382215891	-1.6837920937352	8.85585979000214	0.00109440337944922	0.2925660546452
"BraA04001613"	"AT2G22420"	"AT2G22420"	"Peroxidase superfamily protein"	"-"	"-"	-2.30040676317433	1.48415194164586	8.80759810627741	0.0011189509273088	0.295524376837785
"BraA01000537"	"AT4G33010"	"GLDP1"	"glycine decarboxylase P-protein 1"	"-"	"YES"	1.2906804652892	-1.17721190336161	8.77461233891736	0.00113721515466146	0.296772540539689
"BraA07003776"	"AT1G75450"	"CKX5"	"cytokinin oxidase 5"	"-"	"YES"	-3.84432052703713	0.554485878613424	8.76498965612219	0.00115870789769601	0.298823950886991
"BraA09003637"	"AT1G30870"	"AT1G30870"	"Peroxidase superfamily protein"	"-"	"-"	1.18799851198114	-1.53789513861262	8.68795829838958	0.00119898482341656	0.302771250067943
"BraA08000458"	"AT1G48210"	"AT1G48210"	"Protein kinase superfamily protein"	"-"	"-"	-0.992189842127094	0.550117083900507	8.67751782778915	0.00120666675249899	0.302771250067943
"BraA06003482"	"AT2G17440"	"PIRL5"	"plant intracellular ras group-related LRR 5"	"-"	"-"	0.795175634103902	-1.10896362790253	8.63320793987479	0.00123986196142637	0.302771250067943
"BraA09004850"	"AT3G54830"	"AT3G54830"	"Transmembrane amino acid transporter family protein"	"-"	"-"	2.30489586024022	-1.46695427871152	8.65163670518343	0.00124150494711037	0.302771250067943
"BraA09001518"	"AT1G64500"	"AT1G64500"	"Glutaredoxin family protein"	"-"	"-"	-1.24670106955713	1.43213943636749	8.63515280126353	0.00124307342302426	0.302771250067943
"BraA03003035"	"AT4G03080"	"BSL1"	"BRI1 suppressor 1 (BSU1)-like 1"	"-"	"-"	0.780173421879369	-0.169934052831881	8.59515061625052	0.00126915570262816	0.30331168843384
"BraA10003047"	"AT5G03640"	"AT5G03640"	"Protein kinase superfamily protein"	"-"	"-"	-1.19733883394146	1.36076497811531	8.59027052670138	0.00127296543660934	0.30331168843384
"BraA03002354"	"AT2G42590"	"GRF9"	"general regulatory factor 9"	"-"	"YES"	0.91781467008458	-0.724920005829416	8.53015911372765	0.00132091253567617	0.311351867683413
"BraA03004611"	"AT2G16990"	"AT2G16990"	"Major facilitator superfamily protein"	"-"	"-"	-1.59395691679705	1.20104588105607	8.48205739604401	0.00136067598231176	0.31513349695485
"BraA03004240"	"AT3G21330"	"AT3G21330"	"basic helix-loop-helix (bHLH) DNA-binding superfamily protein"	"YES"	"-"	-4.94766263212869	2.70514668077295	8.4959873816508	0.00136570786965516	0.31513349695485
"BraA07001439"	"AT1G78300"	"GRF2"	"general regulatory factor 2"	"-"	"YES"	-0.147670648627789	-0.51016977966479	8.44277632564778	0.00139410068989719	0.3155847152952
"BraA07000713"	"AT3G25250"	"AGC2-1"	"AGC (cAMP-dependent, cGMP-dependent and protein kinase C) kinase family protein"	"-"	"-"	-5.37858227964827	5.15028640024625	8.45417145329898	0.00140130426352419	0.3155847152952
"BraA09004145"	"AT1G27060"	"AT1G27060"	"Regulator of chromosome condensation (RCC1) family protein"	"-"	"-"	1.67398971778065	-1.41083873705376	8.39022533897904	0.00144453624077912	0.3155847152952
"BraA01001766"	"AT4G25970"	"PSD3"	"phosphatidylserine decarboxylase 3"	"-"	"-"	1.10443532196595	-1.02229773665847	8.38282801117914	0.00144682125430246	0.3155847152952
"BraA07002647"	"AT1G74940"	"AT1G74940"	"cyclin-dependent kinase, putative (DUF581)"	"-"	"-"	0.769306261761193	-0.874765982389153	8.38100483167066	0.00144845777225302	0.3155847152952
"BraA07001204"	"AT1G24440"	"AT1G24440"	"RING/U-box superfamily protein"	"-"	"-"	1.13033308802159	-1.40347327052999	8.37480018571637	0.00145404207129306	0.3155847152952
"BraA05001049"	"AT2G35880"	"AT2G35880"	"TPX2 (targeting protein for Xklp2) protein family"	"-"	"-"	-1.26427373581365	0.634069328794512	8.33196171441055	0.0014932336125819	0.320637579936457
"BraA08003050"	"AT1G23460"	"AT1G23460"	"Pectin lyase-like superfamily protein"	"-"	"-"	2.73038948855728	-2.88210699617969	8.31330872009864	0.00152873624227683	0.320637579936457
"BraA10002859"	"AT5G08520"	"AT5G08520"	"Duplicated homeodomain-like superfamily protein"	"YES"	"-"	1.1103585625093	-0.606924077897926	8.27719479033942	0.00154499708767706	0.320637579936457
"BraA08001465"	"AT4G20150"	"AT4G20150"	"excitatory amino acid transporter"	"-"	"-"	-1.08368934145793	0.711129777267914	8.26354725784459	0.00155819369951208	0.320637579936457
"BraA01004210"	"AT3G12600"	"NUDT16"	"nudix hydrolase homolog 16"	"-"	"-"	-1.7275857055412	0.978801007768335	8.25356462341446	0.0015679230811901	0.320637579936457
"BraA05004523"	"AT3G04000"	"AT3G04000"	"NAD(P)-binding Rossmann-fold superfamily protein"	"-"	"-"	1.68500576723001	-2.08725782783044	8.25304105806333	0.00157296767259651	0.320637579936457
"BraA08000455"	"AT1G48210"	"AT1G48210"	"Protein kinase superfamily protein"	"-"	"-"	-0.988629741837459	0.754563309034549	8.22767873569532	0.00159345725880405	0.320637579936457
"BraA01003810"	"AT3G17611"	"RBL14"	"RHOMBOID-like protein 14"	"-"	"-"	-0.744420558314189	1.08337236754466	8.21634978383405	0.00160477234460302	0.320637579936457
"BraA07002546"	"AT1G77330"	"AT1G77330"	"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein"	"-"	"YES"	-4.2914921963335	2.07074650334185	8.21731299065056	0.00162267856396014	0.320637579936457
"BraA03003915"	"AT3G14850"	"TBL41"	"TRICHOME BIREFRINGENCE-LIKE 41"	"-"	"-"	-1.70705530420761	1.38263250101776	8.19769509509969	0.00162359250823168	0.320637579936457
"BraA09005533"	"AT3G62950"	"AT3G62950"	"Thioredoxin superfamily protein"	"-"	"-"	0.581291703569871	1.97896647214353	8.14028432852814	0.00170254175228717	0.33279084443409
"BraA09005982"	"AT2G19530"	"AT2G19530"	"transmembrane protein"	"-"	"-"	-1.09849307068683	0.935501333830613	8.0999601195857	0.00172614342928827	0.33279084443409
"BraA02002466"	"AT1G75380"	"BBD1"	"bifunctional nuclease in basal defense response 1"	"-"	"-"	1.40690019797005	-1.5405326956066	8.05499592852612	0.00178629415697022	0.33279084443409
"BraA05002617"	"AT3G21550"	"DMP2"	"transmembrane protein, putative (DUF679 domain membrane protein 2)"	"-"	"-"	2.3952093823321	-2.85633377453246	8.02242255473893	0.00181653332488925	0.33279084443409
"BraA07001815"	"AT2G27420"	"AT2G27420"	"Cysteine proteinases superfamily protein"	"-"	"-"	-6.23589810368251	6.15404287758584	8.02982321959479	0.00182452054006226	0.33279084443409
"BraA07004109"	"AT1G79440"	"ALDH5F1"	"aldehyde dehydrogenase 5F1"	"-"	"-"	0.769877746127997	-1.39794562697398	8.01583450840641	0.00182503989977685	0.33279084443409
"BraA04000595"	"AT3G54030"	"BSK6"	"kinase with tetratricopeptide repeat domain-containing protein"	"-"	"YES"	-3.18322584251535	3.07614798454016	8.02799330782293	0.00182661861363032	0.33279084443409
"BraA10001788"	"AT5G19940"	"AT5G19940"	"Plastid-lipid associated protein PAP / fibrillin family protein"	"-"	"-"	0.899269930647864	-1.04258736517587	8.00735105883538	0.00182975106685924	0.33279084443409
"BraA08003712"	"AT1G09310"	"AT1G09310"	"plant/protein (Protein of unknown function, DUF538)"	"-"	"-"	-2.60952788679886	2.04878051453731	8.00709578646951	0.00185076311273851	0.33279084443409
"BraA05003527"	"AT3G15840"	"PIFI"	"post-illumination chlorophyll fluorescence increase"	"-"	"-"	3.27638976648577	-4.24672650672927	8.0054191762584	0.00185271502384816	0.33279084443409
"BraA05000247"	"AT2G46170"	"AT2G46170"	"Reticulon family protein"	"-"	"-"	-0.801116258628468	0.766972651511266	7.97614545978188	0.00186615007125323	0.33279084443409
"BraA06001326"	"AT1G09800"	"AT1G09800"	"Pseudouridine synthase family protein"	"-"	"-"	0.935629376816477	-1.20614513049458	7.97516290408117	0.0018673086932801	0.33279084443409
"BraA10001437"	"AT5G59010"	"BSK5"	"kinase with tetratricopeptide repeat domain-containing protein"	"-"	"YES"	-2.8667647210163	1.98476684093976	7.97157982014165	0.00189258707831803	0.333292967817055
"BraA10001910"	"AT5G44630"	"AT5G44630"	"Terpenoid cyclases/Protein prenyltransferases superfamily protein"	"-"	"-"	-3.96004042710043	4.69889121271598	7.96492622625114	0.00190053469171716	0.333292967817055
"BraA03001072"	"AT5G22030"	"UBP8"	"ubiquitin-specific protease 8"	"-"	"-"	0.813336393313654	-0.457379968177105	7.84669746201569	0.00202565257142484	0.352415317604793
"BraA09005783"	"AT5G43745"	"AT5G43745"	"ion channel POLLUX-like protein, putative (DUF1012)"	"-"	"-"	3.76059139434146	-4.00698237799452	7.84684464867444	0.00204770842738273	0.353447373516983
"BraA09002859"	"AT4G08160"	"AT4G08160"	"glycosyl hydrolase family 10 protein / carbohydrate-binding domain-containing protein"	"-"	"-"	1.768883787438	-2.62357704738451	7.80868374863808	0.002097851254587	0.356693276357866
"BraA05001584"	"AT2G29700"	"PH1"	"pleckstrin homologue 1"	"-"	"-"	0.69330388784344	-1.24904368538973	7.77402613839347	0.00212155798514537	0.356693276357866
"BraA02000863"	"AT5G18820"	"Cpn60alpha2"	"TCP-1/cpn60 chaperonin family protein"	"-"	"-"	-1.46980551099768	2.09773022915101	7.78594644295547	0.00212835329817883	0.356693276357866
"BraA01003985"	"AT3G15352"	"COX17"	"cytochrome c oxidase 17"	"-"	"-"	-1.99845271251598	1.84364800642973	7.75915809995159	0.00214177355597658	0.356693276357866
"BraA03001262"	"AT5G58070"	"TIL"	"temperature-induced lipocalin"	"-"	"-"	0.909551903185324	-1.48120396551634	7.74091852940108	0.00217919698892012	0.356693276357866
"BraA08002399"	"AT3G57880"	"AT3G57880"	"Calcium-dependent lipid-binding (CaLB domain) plant phosphoribosyltransferase family protein"	"-"	"-"	0.673710684143826	-0.491313986715119	7.72963906427969	0.00218252482794158	0.356693276357866
"BraA06003621"	"AT5G24420"	"PGL5"	"6-phosphogluconolactonase 5"	"-"	"-"	-1.97254588096356	1.74234095208096	7.72637245089338	0.00218708529001727	0.356693276357866
"BraA07001281"	"AT1G26620"	"AT1G26620"	"T-box transcription factor, putative (DUF863)"	"-"	"-"	0.787932591366478	0.0340197368905733	7.71484292111474	0.0022032633837141	0.356693276357866
"BraA01004327"	"AT3G10720"	"AT3G10720"	"Plant invertase/pectin methylesterase inhibitor superfamily"	"-"	"-"	-0.0471415190169397	1.1700343342618	7.6931286796445	0.00223494770510719	0.356693276357866
"BraA05001589"	"AT2G29670"	"AT2G29670"	"Tetratricopeptide repeat (TPR)-like superfamily protein"	"-"	"-"	1.67715732526705	-1.59624826549771	7.7046157367783	0.00224141699960902	0.356693276357866
"BraA07002178"	"AT3G58840"	"PMD1"	"Tropomyosin-like protein"	"-"	"-"	0.353665843628461	0.70447928764398	7.67443140521274	0.00226098998264168	0.356693276357866
"BraA09000109"	"AT4G00900"	"ECA2"	"ER-type Ca2 -ATPase 2"	"-"	"-"	-1.21966088600367	1.00359183863233	7.67212879654085	0.00226439571852965	0.356693276357866
"BraA09002844"	"AT4G06744"	"AT4G06744"	"Leucine-rich repeat (LRR) family protein"	"-"	"-"	-1.77026237115855	0.145102256411963	7.6556964864694	0.00228830099072326	0.356693276357866
"BraSca000955"	"AT4G19810"	"ChiC"	"Glycosyl hydrolase family protein with chitinase insertion domain-containing protein"	"-"	"-"	1.96509442845949	0.0493660934757978	7.66630665697045	0.00229689260775215	0.356693276357866
"BraA03002626"	"AT5G52940"	"AT5G52940"	"hypothetical protein (DUF295)"	"-"	"-"	-7.06653696296698	2.49743871884111	7.65700064996666	0.00231059008452247	0.356693276357866
"BraA09006717"	"AT1G07200"	"AT1G07200"	"Double Clp-N motif-containing P-loop nucleoside triphosphate hydrolases superfamily protein"	"-"	"-"	1.09573235515161	-0.988680274765908	7.61899349923405	0.00234283669179792	0.357140739037538
